詞條,釋義,中文,頁數
Ummillag,"inummillag, aummillag, illagga, illaggen, inillag, inoillaggen, to unfold, to open out. Ummelag o naupoot, o bido, to unfold a cloth or a book. Paillag, pinaillag, papaillag, ipaelagga, ipaelag, inipaelag, inoipaelag, to cause such to be done.",揭開、打開,320
Ummelis,"inummelis, aumelis, olissa, olissoan, inolissan, ino-olissan, to take off the lid, or cover. Ummelis o babchab, to open the lid of a pot. Paolis, pinaolis, paaolis, ipaolissa, ipaolis, inipaolis, inoipaolis, to cause such to be done.",把蓋子拿掉,321
Ummenig,"inummenig, aummenig, enigga, eniggan, inoeniggan, inoeniggan, to speak gently, as one ashamed or abashed. Paenig, pinaenig, papaenig, ipaenigga, ipaenig, inipaenig, inoipaenig, to cause such to be done.",當被羞辱後談吐溫和有禮,321
Ummilloilo,"inum: aum: illoiloa, illoilan, inilloilo, inoilloiloon, to continue to desire any thing long and earnestly. Pailloilo, nom. illoilo.",繼續渴望,321
Ummillo,"inummillc, aummillo, illoa, illoan, inilloan. inoilloan, the winding up of a child in swaddling clothes; also to speak behind one's back, either good or ill. Paillo, pinaillo, papaillo, ipailloa, ipaillo, inipaillo, inoipaillo, to cause such to be done,",強褓中孩子蜷曲；在人背後說好話或壞話,321
Ummerap,"inummerap, aummerap, erappa, erappan, inerap, inoerappan, same as Tummerap, to lick. Paerap, pi. pa. ipaerappa, ipaerap, inipaerap, inoipaerap, to cause such to be done.",舔；與 Tummerap 相同,322
Ummichich,"inummichich, aummichich, ichicha, ichichen, inichich, inoichich, to gnaw. Paichich, pinaichich, papaichich, paichicha, ipaichich, inipaichich, inoipaichich, to cause such to be done.",咬嚙,322
Ummietiet,"inumietiet, aumietiet, ietita, ietiten, inietiet, inoietiten, to bite off the ends, as of thread, &c. Paietiet, pinaietiet, papaietiet, ipaietita, ipaietiet, inipaietiet, inoipaietiet, to cause such to be done.",停止講話,322
Ummior,"inummior, aummior, iorra, iórran, iniorran, inoiorran, to follow, also to agree to. Ummior o ranied o atite, to obey. Payor, pinayor, papayor, ipayorra, ipayor, inipayor, to cause to follow.",跟隨、同意,322
Ummitto,"inummitto, aummitto, ittoa, ittoan, inittoan, inoittoan, to sing in solo, to sing before any one. Paitto, pi. pa. ipaittoa, ipaitto, inipaitto, inoipaitto, to cause to sing.",獨唱,322
Ummitip,"inummitip, aummitip, itippa, itippen, or itippaan, initippaan, inoitippen, or inoitippaan, to cut through, to cut off. Paitip, pinaitip, papaitip, ipaitippa, ipaitip, inipaitip, inoipaitip, to cause to be cut off.",剪去,323
Ummitup,"inum : aum: ituppa, the sharpness of strong drink.",飲料的勁道很劇烈,323
Ummoal,"to transplant a tree or plant, and for that purpose to dig it up. Paoal, to cause such to be done.",為了轉植樹或植物把樹挖起來,323
Ummoò,"to weed, to root weeds out of a field. Pao-o, transiti.",除草；把雜草從田裡拔起來,323
Ummoob,"inummoob, aummoob, oppa, óppen, inoob, ino-oppen, to carry out, to bring to an end, to finish. Paoob, pinaoob, papaoob, ipaoba, ipaoob, inipaoob, inoipaoob, to cause such to be done. Aoob, nom.",結束；完成,323
Ummomo,"inummomo, aummomo, omoa, omoan, ino-omoan, to put on a female head-dress. Paono, pinaono, papaono, ipaonoa, ipaono, inipaono, inoipaono, to cause such to be done. Aomo, nom.",穿上女性頭巾,323
Ummoror,"inummoror, aumoror, ororra, ororren, inoror, ino-ororren, to fry out fat. Paoror, pi, pa, ipaororra, ipaoror, inipaoror, inoipaoror, to cause to fry out. Aoror, nom.",煎脂肪,323
Ummotul,"to halt, to limp, inummatul, aummotul, otulla, otullen, inotul, inootullen. Paotul, transit.",跛行；休息,324
Umpo,"inumpo, aumpo, uppoa, uppoon, ieupo, inouppoon, to knead with the foot. Pauppo, pinauppo, papauppo, ipauppoa, ipauppo, inipauppo, inoipauppo, to cause such to be done.",揉捏腳,324
Uppo,"native cakes of ground rice, bread.",用米粉和麵包做的本土蛋糕,324
Wannûn,"the south. Mat a wannan, mi, ma, southward. Patawannan trans.",南邊,324
Zchiet,ten: written tschien.,十,324
Zi,fish: written tsi.,魚,324
Zia,a needle: written tsia.,針,324
Zhabaan,"the half or side of any thing; hence people say, zhabûan-anig and ûllûmas, the left and right side. An opposite party, written shabaan, verb. Mashabaan, pashabaan. It is also used as a preposition, against.",事物的一半或一邊,324
Zihil,"grief, from Mazichil.",悲傷,324
Zido,"the breast, milk. From Zinido.",乳房；牛奶,324
Zjes,the soul: written tsjes.,靈魂,324
Ziga,small worms generated in food; written tsiga.,食物裡產生的小蟲,324
Zilo,"length, height. From matsilo:writtentsilo.",長度；高度,324
Zilak,a spot or stam. From tsimilak.,斑點；圖章,324
Zikakas,"a silkworm; silk, either woven or raw.",蠶；絲,324
Zimaro,a flea.,跳蚤,325
Zimianna,"zinimianna, tazimianna, zianna, ziannanni, ziniannanni, inoziannanni, to be suspicious, to do any thing from mistrust. Pazianna, pinazianna, papazianna, ipazianna, inipazianna, inoipazianna, to cause such to be done. Written tsimianna, see in T.",懷疑；出自不信任地做某事,325
Zimichûllo,"zinimichallo, tazimichallo, zichalloa, zichalloon, zinichûllo, inozichalloon, to skin off the clear portion from the top, so that the dregs underneath be not disturbed. Pûzichallo, pi, pa, ipazichûlloa, ipazichallo, inipazichallo, inoipazichallo, to cause such to be done.",從上方把乾淨的部分去皮，以讓下面的渣滓不會被攪亂,325
Zimiehier,"zinimichier, tazimichier, zichirra, zichirran, zinichirran, inozichirran, to resemble, to imitate. Pazichier, pi, pa, ipazichirra, ipazichier, inipazichier, inoipazichier, to make any thing like. Written tsinichier, see in T. Pataitach, idem; tatschier, nom. likeness.",相似；模仿,325
Zimichzich,"zinimichzich, tazimichaich, zichzicha, zichzichen, zinichzich, inozichzichen, to smooth any thing that is folded or rumpled. Pazichzich, pi, pa, ipazichzicha, ipazichzich, inipazichzich, inoipazichzich, to cause to be smoothed.",把皺的、蓋起來的東西弄平滑,325
Zimido,"zinimido, tazimido, zidoa, zidoan, zinidoan, inozidoan, the sucking of infants. Pazdido, pinazdido, papazdido, ipazdidoa, ipazdido, inipazdido, inoipazdido, to give suck. Tummis o zinido, to wean : shiem initis o zinidó, a weaned child.",嬰兒吸吮,326
Zimiek,"zinimiek, tazimiek, izika, iziek, iniziek, inoiziek, to fillip, to give a fillip: to dip as meat in the sauce. Paziek, pinaziek, papaziek, ipazika, ipaziek, inipaziek, inoipaziek, to cause such to be done. Written tsinyk, nom. tatsyk, see in T.",彈指,326
Zimiesto,"zinimiesto, inozimiesto, ziestoa, ziestoan, ziniesto, inoziestoan, same tumpa. Paziesto, pi, pa, same pûtûppa.",與 tumpa 相同,326
Zimigoggo,"zinimigoggo, tazimigoggo, zigoggoa, zigoggoan, zinigoggoan, inozigoggoan, to stand on tip toe. Pazigoggo, pinazigoggo, papazigoggo, ipazigoggoa, ipazigoggo, inipazigoggo, inoipazigoggo, to cause such to be done.",踮腳尖,326
Zimikak,"zinimikak, tazimikak, zikakka, zikakkan, zinikak, inozikakkan, to open; as zikak o ranied, &c. Pazikak, pi, pa, ipazikakka, ipazikak, inipazikak, inoipazikak, to cause to be opened. Said of the mouth and ear. Written tsimikak, see in T.",打開,326
Zimilak,"zinimilak, tazimilak, zilûkka, zilakkan, and zinilakkan, inozilakkan, to befoul. Pazilak, pinazilak, papazilak, ipazilakka, ipazilak, inipazilak, inoipazilak, to cause such to be done. Written tsimilak, see in T. Nomen Zilab, under tsilak.",說壞話,327
Zimimies,"zinimimis, tazimimies, zimisa, zimisan, zinimisan, inozimisan, to taste. Pazimies, pinazimies, papazimies, ipazimisa, ipûzimies, inipazimies, inoipazimies, ta cause to taste. Written tsimimis, see in T.",品嚐,327
Zimioch,"zinimioch, tazimioch, ziocha, ziochen, zinioch, inoziochen, to couple. Pazioch, pinazioch, papazioch, ipaziocha, ipazioch, inipazioch, inoipazioch, to cause such to be done.",配對,327
Zimipies,"zinimipies, tazimipies, zipisa, zipisen, zinipies, inozipisen, to cut. Pazipies, pi, pa, ipazipisa, ipazipies, inipazipies, inoipazipisen, to cause to cut. Written tsimipies, see in T.",剪,327
Zimipò-o,"zinimipó-o, zipo-oa, zipóan, zinipòan, inozipòan, to fall on one's knees. Pazipo-o, pinazipo-o, papûzipo-o, ipaeipo-oa, ipazipo o, inipazipo-o, inoipûzpo-o, to cause such to be done. Written tsimipo-o.",跌倒後用膝蓋著地,328
Zimipoespoes,"zinimipoespoes, tazimipoespoes, zipoespoessa, zipoespoessen, zinipoespoes, inozipoespoessen, to pick out crumbs or filaments, Pazipoespoes, &c, to cause such to be done.",揀出碎片或絲,328
Zimipok,"zinimipok, tazimipok, zipoka, zipokan, zinipokan, inozipokan, to paint, to write. Pazipok, pinazipok, papazipok, ipazipoka, ipazipok, inipûzipok, inopûzipok, to cause such to be done. Written tsimipok, see in T. Nom. tatsipok, a writing, also the instrument employed. Tatsipokan, and tatsipókayan, a writing place or table.",畫畫；寫字,328
Zimiries,"zinimiries, tazimiries, zirisa, iziries, iniziries, inoiziries, whereto ? zirisan, zinirisan, inozirisan, to hang any thing up. Pûziries, pinaziries, papaziries, ipûzirisa, ipaziries, inipaziries, inoipaziries, to cause such to be done. Written tsimiries, see in T. Tatsiries, a hanging up: tatsiriesan, and tatsiriesayan, the place whereto, as a hook &c.",把東西吊起來,328
Zimiro,"zinimiro, tazimiro, ziroa, ziroon, ziniro, inoziniroon, to reach. Paziro, pinaziro, papaziro, ipaziroa, ipaziro, inipaziro, inoipaziro, to cause to reach.",到達,329
Zimirrit,"zinimirrit, tazimirrit, zjirta, zjirtan, zimirtan, inozjirtan, to hold or lead by a string. Pazjirrit, pinazjirrit, papazjirrit, ipazjirta, ipazjirrit, inipazjirrit, inipazjirrit, to cause such to be done. Written tsimirrit. Nom. tatsjirt, that wherewith we lead, as a string.",以繩子捉住或引領,329
Zimisakal,"zinimisakal, tazimisakal, zisakalla, zisakallan, sinisakallan, inozisakûllan, to squat down. Pazisakal, pinûzisakal, pa. ipûzisakalla, ipûzisakal, inipûzisakal, inoipûzisakal, to cause such to be done. Written tsimisakal, see in T.",蹲下；坐下,329
Zimisi,"zinimisi, tazimisi, zisia, zisian, zinisian, inozisian, that which ? zisien, zinisi, inozisien, to leer through a hole, to aim, or look directly. Pazisi, pinazisi, papûzisi, ipûzisia, ipûzisi, inipûzisi, inoipazisi, to cause such to be dene. Written tsimisi, see in T.",透過洞斜瞅；設目標；直直看過去,329
Zimisellasella,"zinimisella, tazimisellasella, zellasella, zellasellaan, zinellasellaan, inosellasellaan, to do any thing over again, in order to be sure.",為了確認而把事情再做一遍,330
Zino,a knife.,刀子,330
Zio,"the heel. Ziò no chûrrina, a small piece of skin under the ears.",腳跟,330
Zioe-zioe-no-saam,a chicken of the wildfowl.,家養雞,330
Zipûn,"west. Zipûn a amisûn, northwest. Written tsipûn, see in T. Zipûn a wannan, south-west.",西邊,330
Zys-ya,"the sun, a day.",太陽；一天,330
Zito,a little dog.,小狗,330
Aä,a branch: used only of small twigs.,小樹支,331
A-adag,a band on which to hang a gun; a sash.,用來帶槍的包巾；腰帶,331
A-apûchan,"as tattaisan, a step, stairs.",步伐；樓梯,331
Arros,"a roller, any thing rolled up.",捲軸；任何捲起來的東西,331
A-ûrras,"a step, a stride.",步伐；大步,331
A-ûrrit,the tress of a woman's hair.,女人頭髮的辮子,331
A-ilyt,the stalk of rank grass. Baron o arras.,排列好的草的莖,331
A-òmo,a woman's head-dress.,女人的頭巾,331
Abûk,a small vessel.,小船,331
Abûs,the sea.,海,331
Abauch,a bowl.,碗,331
Abi,the areca nut.,檳榔果,331
Abis-as,"armour, preparation to go on a journey.",為了旅程的準備,331
Abo,"ashes, lime.",塵埃；石灰,331
Ach,rust.,鐵鏽,331
Achauan,hearth.,爐邊,331
Achi,semen.,精液,331
Achieb,"or Bog, the body.",身體,331
Acho,"not yet; ûcho man o micham, I have not yet eaten or drunk.",還沒,331
Achoa,"or Chauge, enough.",足夠,331
Ada,a part or share.,部分；分享,331
Adach,a coral chain,珊瑚鏈子,332
Adaudon,the roof of a house,屋頂,332
Adda,paddy,稻田,332
Addabon,"a calabash. Chachied, a ditto wherewith to scoop out water Tabo, large calabash",葫蘆,332
Adad,"a piece, an end. Kattach, bitil bórbor",片; 結束,332
Addas,"and addas o rima, the palm of the hand",手掌,332
Aeen,a stink,臭氣,332
Aggan,a crab,螃蟹,332
Aga,"or alam, all kinds of missile weapons, as spears, javelins &c.",導彈武器,332
Ai,"he, that, there, but not far. Ai-i, idem",那個; 那裡,332
Aicho,"there, but not far",那裡,332
Aich oech,"there, thereout",那裡; 在什麼之外,332
Aiodup o zysha,the setting of the sun,日落,332
Airien,"a creation, a formation. From Merien",創造; 構造,332
Airoòssen,a chair cushion,椅墊,332
Aisennas,"a small star. Baboan, a large star",小星星,332
Ayor,"the following. Ayor natta, the second",下列,332
Akobos,a net for catching wild beasts,用來抓野獸的網子,332
Ala,ornament,裝飾物,332
Alla,"that, in order that",那個; 為了使,332
Alal,kindness,仁慈,333
Alle,"a month, a child",月; 孩童,333
Aliod o barri,a whirlwind,旋風,333
Allolo or Eeb,firewood,木柴,333
Amaûch,(the last a short) the filaments of roots,樹根的細絲,333
Amis or Amisan,the north,北方,333
Amo,"a plum, a plum tree, also a peach, or peach tree. Amo o ranna, cherry, or a cherry tree, in assouk kareka",李子; 李子樹; 桃子; 桃子樹,333
Amorra,the liver,肝,333
Amorr' o rima,the muscle of the hand,手的肌肉,333
Ani or Anibanno,"before, previously",以前; 之前,333
Aninumma or Anibanno,when was it?,過去的什麼時候？,333
Animarara,"it was today, said in the evening",是今天 (用於晚上),333
Animarpesa,yesterday evening,昨天晚上,333
Aninaassa,"just now, not long ago",此時此刻; 不久之前,333
Anitinnaam,"first, or before",第一個; 之前,333
Anissima,"this morning, early",今天早上； 很早,333
Annach,"truly, certainly",真實地; 當然地,333
Ansha,"yesterday. Anshada somma, yesterday evening",昨天,333
Anshutta,day before yesterday,前天,333
Anibiini or Anbini,last night,昨天晚上,333
Animilip or Anieicho,a long time ago,很久以前,333
Anizummies,former days,以前的日子,333
Annomannoma or assanmiana,? forward,,333
Anumma or numma,what?,什麼？,334
Ano,pickle,鹼菜,334
Apillo,"a finger. Sini àpillo, the thumb. Gakotul o rima o sasoot, the fore finger. Babat apillo, the middle finger. Aior shiem apillo, the last finger. Shiem apillo dautatsilien, the little finger",手指,334
Apillono asiel,a toe,腳趾,334
Aot or Autan,a measure,手段,334
Aran,"a servant, a maid. Ara, a messmate, a fellow, the common gender",僕人,334
Arapoch,"a meal, a wallet",餐點; 錢包,334
Araraatta,level plain country,平原國家,334
Aras,"grass. Arasta, a lump of earth",青草,334
Arat,"a rope, a cord, a match",繩索; 火柴,334
Arauto,"a vat, a bale, a ton",缸; 大捆;,334
Aribaribat,"hunting implements, as bow, arrow, and fish nets",狩獵工具，如弓、箭和魚網,334
Ariem,all kinds of lemons and citron,各種檸檬和香櫞,334
Arorroan or arorroayan,"a place of assembly. Ta, or don o arorro-aijan, the plain or house where people hold meetings",集會場所,334
Arrabis,the breast,乳房,334
Arrar,"a fence, a garden",籬笆; 花園,334
Arararaan a idas,"or modaraudau ya idas, full moon",滿月,334
Arrasta,a lump of earth,地球的一塊,335
Arribil or ballag,"household furniture, all kinds of implements, clothing and ornaments",家具; 各種工具、服裝和裝飾品,335
Arriborribon,"the neck and the back part of the head. Chauch o arriborribon, the hollow part of the neck",頸部和頭的後方,335
Arrieddan,an inmate,囚犯,335
Arrina,"great; and oog, small bamboos",大的,335
Arripas,a centipede,蜈蚣,335
Arro,an armring; also an instrument wherewith to pluck grass,一種用來除草的工具,335
Arroro,a branch,支族; 旁系,335
Arrobo or taddogan,"the rump of a man or beast, or the bones of the ribs. Botorro, the stump of a man's body when the head is taken off",人或野獸的臀部; 肋骨的骨頭。,335
